rooms,baths,area,lat,lng,amenity_count,has_swimming_pool,has_gym_or_health_club,has_covered_parking,has_lawn_or_garden,has_security_staff,has_balcony_or_terrace,has_jacuzzi,has_sauna,has_cctv_security,price_per_sqm,rooms_x_baths,area_per_room,amenity_density,total_amenities,city_en_enc,neighbourhood_en_enc,province_en_enc,furnishingStatus_furnished,furnishingStatus_unfurnished,furnishingStatus_unknown,completionStatus_completed,completionStatus_under-construction,property_type_en_Apartments,property_type_en_Cabins,property_type_en_Chalets,property_type_en_Duplexes,property_type_en_Hotel Apartments,property_type_en_Lands,property_type_en_Other Residential,property_type_en_Penthouses,property_type_en_Roofs,property_type_en_Rooms,property_type_en_Townhouses,property_type_en_Twin Houses,property_type_en_Villas,property_type_en_iVillas
3,3,180.0,30.084482192642,30.963006624909,18,1,1,1,1,0,0,1,1,0,105555.55555555556,9,60.0,10.0,6,16.02378508137718,16.759949589762293,16.01134442508541,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,3,185.0,29.99352595,31.5196573,5,0,0,1,0,0,1,0,0,0,20540.54054054054,12,46.25,2.7027027027027026,2,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,260.0,30.07349031,31.60085522,8,0,0,0,0,1,1,0,0,1,35576.92307692308,9,86.66666666666667,3.0769230769230766,3,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,3,220.0,29.905801403754,31.078392112719,6,0,0,1,0,0,0,0,0,0,16818.18181818182,12,55.0,2.727272727272727,1,15.279199431073042,15.123843647884687,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3,197.0,30.0648376,30.94684,45,1,1,1,1,1,1,1,1,1,37055.83756345178,12,49.25,22.84263959390863,9,16.02378508137718,15.803385043104912,16.01134442508541,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,2,145.0,30.0395901,31.6985965,24,1,1,1,1,1,1,0,0,1,41379.31034482759,6,48.333333333333336,16.551724137931036,7,15.616501940217244,15.458189997639176,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,160.0,30.0468424,30.998248,31,1,1,1,1,1,0,1,1,1,50000.0,9,53.333333333333336,19.375,8,16.02378508137718,15.862682968241984,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,113.0,31.082957585789,28.032116949628,24,1,1,1,1,1,1,0,0,1,110619.46902654867,6,37.666666666666664,21.238938053097346,7,16.345788916607955,16.264790116464905,16.345788916607955,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,3,172.0,30.0478192,31.5372842,9,0,0,1,1,0,0,0,0,0,85745.66279069768,9,57.333333333333336,5.232558139534884,2,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,4,325.0,30.0577847,30.939106,27,1,1,1,1,1,1,1,1,0,35384.61538461538,20,65.0,8.307692307692308,8,16.02378508137718,16.2791374856878,16.01134442508541,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,3,365.0,29.98957,31.21846,7,0,0,1,0,0,0,0,0,0,46575.34246575343,12,91.25,1.9178082191780823,1,16.648723960844016,16.648723960844016,16.01134442508541,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,101.0,31.0665111,28.344066,34,1,1,1,1,1,1,1,0,1,89108.91089108911,4,50.5,33.663366336633665,8,16.345788916607955,15.572773764067886,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,3,200.0,30.0546803,31.5114161,4,0,0,0,1,0,0,0,0,0,26750.0,9,66.66666666666667,2.0,1,16.282847171369255,16.489659276356317,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,134.0,30.0395901,31.6985965,0,0,0,0,0,0,0,0,0,0,29701.492537313432,6,44.666666666666664,0.0,0,15.616501940217244,15.458189997639176,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,194.0,30.0246926,31.4940262,23,1,1,1,1,1,1,0,0,1,77319.58762886598,6,64.66666666666667,11.855670103092784,7,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,125.0,29.9633661,31.0009178,0,0,0,0,0,0,0,0,0,0,57600.0,4,62.5,0.0,0,16.10616420501588,15.988839917212927,16.01134442508541,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,115.0,29.4705022,32.4537273,18,1,0,0,1,1,1,0,0,1,47391.30434782609,4,57.5,15.65217391304348,5,15.747032114495013,15.506518023422661,15.747032114495013,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,4,270.0,29.9842656,31.540594,0,0,0,0,0,0,0,0,0,0,72222.22222222222,16,67.5,0.0,0,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,4,160.0,26.8641416,33.9648764,44,1,1,1,1,1,1,1,1,1,168750.0,12,53.333333333333336,27.5,9,16.3394119477972,16.57664092072968,16.233206958474412,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,169.0,30.0050838,30.9290455,37,1,1,1,1,0,1,1,1,0,47337.27810650888,9,56.333333333333336,21.893491124260354,7,16.10616420501588,15.930560647738732,16.01134442508541,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,131.0,30.09177585,31.6426486,28,0,0,0,0,1,1,0,0,1,51908.396946564884,6,43.666666666666664,21.374045801526716,3,15.93111255107345,15.88868261241667,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,210.0,30.04842577295,31.501481164322,4,0,0,0,0,0,0,0,0,0,117900.0,9,70.0,1.9047619047619047,0,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,131.0,30.166137,31.6680496,12,0,0,1,1,0,1,1,0,0,91603.0534351145,4,65.5,9.16030534351145,4,16.300417291085605,16.486367704879513,16.066802461833923,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,210.0,30.166137,31.6680496,15,0,0,1,1,1,1,0,0,1,108780.95238095238,9,70.0,7.142857142857142,5,16.300417291085605,16.486367704879513,16.066802461833923,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,2,200.0,30.99104,30.0537,0,0,0,0,0,0,0,0,0,0,26000.0,6,66.66666666666667,0.0,0,16.02378508137718,15.585265227956793,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,7,1250.0,31.00763549,29.75773621,24,0,0,1,1,1,0,0,0,1,18400.0,42,208.33333333333334,1.92,4,16.18295155698594,15.747032114495013,15.851522672265068,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,115.0,30.06805,31.406379,22,0,1,1,1,1,1,0,0,1,50869.565217391304,1,115.0,19.1304347826087,6,16.282847171369255,16.489659276356317,16.066802461833923,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
